,_id,CPV_code
56,5bfd6727eca306f8c5bc07ca,45233142-6
57,5bfd6727eca306f8c5bc07ce,72410000-7
58,5bfd6717eca306f8c5bc0776,0
59,5bfd672aeca306f8c5bc07e3,45310000-3
60,5bfd6715eca306f8c5bc076f,0
61,5bfd670deca306f8c5bc0752,0
62,5bfd6704eca306f8c5bc0740,0
63,5bfd672eeca306f8c5bc07f1,39110000-6
64,5bfd671feca306f8c5bc079b,0
65,5bfd671feca306f8c5bc079c,72260000-5
66,5bfd6721eca306f8c5bc07a4,15320000-7
67,5bfd6719eca306f8c5bc077c,0
68,5bfd670deca306f8c5bc0754,44170000-2
69,5bfd6729eca306f8c5bc07dc,44110000-4
70,5bfd6710eca306f8c5bc0760,0
71,5bfd6528eca306f8c5bc0489,0
72,5bfd6528eca306f8c5bc048b,90510000-5
73,5bfd6526eca306f8c5bc0472,0
74,5bfd671feca306f8c5bc079a,0
75,5bfd6522eca306f8c5bc0452,0
76,5bfd6526eca306f8c5bc0470,33140000-3
77,5bfd670deca306f8c5bc0753,0
78,5bfd6524eca306f8c5bc0463,0
79,5bfd6524eca306f8c5bc045e,45230000-8
80,5bfd6524eca306f8c5bc045d,0
81,5bfd6522eca306f8c5bc044e,0
82,5bfd651feca306f8c5bc043c,0
83,5bfd6528eca306f8c5bc047e,51110000-6
84,5bfd651ceca306f8c5bc0424,0
85,5bfd6528eca306f8c5bc0481,79410000-1
86,5bfd651deca306f8c5bc0433,45230000-8
87,5bfd6528eca306f8c5bc0483,50410000-2
88,5bfd6526eca306f8c5bc0471,44310000-6
89,5bfd651ceca306f8c5bc0421,0
90,5bfd6517eca306f8c5bc0406,45230000-8
91,5bfd651feca306f8c5bc043e,30230000-0
92,5bfd6517eca306f8c5bc0402,0
93,5bfd6526eca306f8c5bc046d,45233142-6
94,5bfd6528eca306f8c5bc047f,71520000-9
95,5bfd6524eca306f8c5bc0460,45233142-6
96,5bfd6522eca306f8c5bc0454,45230000-8
97,5bfd651deca306f8c5bc042d,80510000-2
98,5bfd6510eca306f8c5bc03dc,09310000-5
99,5bfd6517eca306f8c5bc0405,50710000-5
100,5bfd6512eca306f8c5bc03e7,37450000-7
101,5bfd6524eca306f8c5bc045f,80340000-9
102,5bfd64feeca306f8c5bc0393,0
103,5bfd6522eca306f8c5bc0453,39830000-9
104,5bfd6510eca306f8c5bc03db,65400000-7
105,5bfd6519eca306f8c5bc0414,71310000-4
106,5bfd650feca306f8c5bc03cb,30190000-7
107,5bfd6524eca306f8c5bc0461,15130000-8
108,5bfd6526eca306f8c5bc046b,45310000-3
109,5bfd6522eca306f8c5bc0456,45233142-6
110,5bfd651deca306f8c5bc042e,15420000-8
111,5bfd651deca306f8c5bc0432,34330000-9
112,5bfd6528eca306f8c5bc0482,18110000-3
113,5bfd6524eca306f8c5bc0462,0
114,5bfd650eeca306f8c5bc03c8,34913000-0
115,5bfd651feca306f8c5bc0440,39515420-5
116,5bfd650deca306f8c5bc03c0,45310000-3
117,5bfd6517eca306f8c5bc0401,71330000-0
118,5bfd650eeca306f8c5bc03c7,44220000-8
119,5bfd64feeca306f8c5bc0395,30190000-7
120,5bfd650deca306f8c5bc03bd,45330000-9
121,5bfd634feca306f8c5bc0011,0
122,5bfd634feca306f8c5bc001a,65210000-8
123,5bfd651ceca306f8c5bc0426,45400000-1
124,5bfd634feca306f8c5bc0017,44520000-1
125,5bfd650deca306f8c5bc03bf,71310000-4
126,5bfd634feca306f8c5bc0015,98390000-3
127,5bfd6344eca306f8c5bbffdd,0
128,5bfd634beca306f8c5bc0006,45420000-7
129,5bfd6342eca306f8c5bbffd1,0
130,5bfd6348eca306f8c5bbfff5,0
131,5bfd634feca306f8c5bc001f,09211100-2
132,5bfd633ceca306f8c5bbffb3,90640000-5
133,5bfd633feca306f8c5bbffc3,0
134,5bfd6342eca306f8c5bbffd0,0
135,5bfd6346eca306f8c5bbffec,15550000-8
136,5bfd6337eca306f8c5bbff91,44212320-8
137,5bfd634feca306f8c5bc001b,31530000-0
138,5bfd6337eca306f8c5bbff8e,0
