,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
7450,5bf800255fb2add4506df9d8,,2018-11-22T00:00:00+02:00,,,active
7451,5bf800a25fb2add4506dfde3,,2018-11-22T16:35:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7452,5bf800255fb2add4506df9da,,2018-11-22T16:14:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7453,5bf8009f5fb2add4506dfcbc,,2018-11-22T16:16:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7454,5bf800245fb2add4506df99b,,,,,
7455,5bf8009f5fb2add4506dfd09,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7456,5bf8009d5fb2add4506dfc94,,,,,
7457,5bf800255fb2add4506df9c3,,2018-11-22T15:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7458,5bf800245fb2add4506df9b9,,2018-11-22T00:00:00+02:00,,,active
7459,5bf800245fb2add4506df9a9,,2018-11-20T16:00:00+02:00,2019-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7460,5bf800255fb2add4506df9cd,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7461,5bf800a35fb2add4506dfe2b,,2018-11-21T16:40:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7462,5bf800245fb2add4506df991,,,,,
7463,5bf800245fb2add4506df9b5,,2018-11-20T16:00:00+02:00,2019-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7464,5bf800255fb2add4506df9c7,,2018-11-20T16:15:00+02:00,2018-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7465,5bf8009f5fb2add4506dfcea,,2018-11-22T10:17:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7466,5bf800245fb2add4506df9b7,,2018-11-22T16:14:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7467,5bf800245fb2add4506df996,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7468,5bf800a05fb2add4506dfd40,,2018-11-22T16:21:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7469,5bf800a05fb2add4506dfd33,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
